sample_id,x,y,z,inclinacion,azimuth,mean,median
20251028_121959_1,0.61,0.16,0.75,20,0,4.291590657,4.29235
20251028_121959_1,0.61,0.16,0.75,20,120,3.604528372,3.60502
20251028_121959_1,0.61,0.16,0.75,20,240,4.475507458,4.47627
20251028_121959_10,0.61,0.16,0.75,20,0,4.35017178800001,4.35092
20251028_121959_10,0.61,0.16,0.75,20,120,3.658775376,3.6593
20251028_121959_10,0.61,0.16,0.75,20,240,4.54090433999999,4.54142
20251028_121959_11,0.7,0.65,0.75,20,0,3.921231582,3.92187
20251028_121959_11,0.7,0.65,0.75,20,120,3.90488442,3.90542
20251028_121959_11,0.7,0.65,0.75,20,240,3.13488909,3.1355
20251028_121959_12,0.7,0.65,0.75,20,0,4.07063267,4.07124
20251028_121959_12,0.7,0.65,0.75,20,120,4.04354225,4.04426
20251028_121959_12,0.7,0.65,0.75,20,240,3.26290223799999,3.26349
20251028_121959_13,0.7,0.65,0.75,20,0,4.090962489,4.09164
20251028_121959_13,0.7,0.65,0.75,20,120,4.06992337,4.07059
20251028_121959_13,0.7,0.65,0.75,20,240,3.29269493899999,3.2931
20251028_121959_14,0.7,0.65,0.75,20,0,3.893608456,3.89423
20251028_121959_14,0.7,0.65,0.75,20,120,3.87949596,3.88008
20251028_121959_14,0.7,0.65,0.75,20,240,3.131246624,3.13188
20251028_121959_15,0.7,0.65,0.75,20,0,4.20030943299999,4.20088
20251028_121959_15,0.7,0.65,0.75,20,120,4.173626004,4.17423
20251028_121959_15,0.7,0.65,0.75,20,240,3.39050338,3.39115
20251028_121959_16,0.7,0.65,0.75,20,0,4.011677877,4.01235
20251028_121959_16,0.7,0.65,0.75,20,120,3.99042487900001,3.99096
20251028_121959_16,0.7,0.65,0.75,20,240,3.22529388500001,3.22565
20251028_121959_17,0.7,0.65,0.75,20,0,3.98998802900001,3.99063
20251028_121959_17,0.7,0.65,0.75,20,120,3.96991970700001,3.97056
20251028_121959_17,0.7,0.65,0.75,20,240,3.20720359400001,3.20755
20251028_121959_18,0.7,0.65,0.75,20,0,4.103706461,4.10448
20251028_121959_18,0.7,0.65,0.75,20,120,4.075942074,4.07651
20251028_121959_18,0.7,0.65,0.75,20,240,3.29627288299999,3.29672
20251028_121959_19,0.7,0.65,0.75,20,0,4.019450086,4.02025
20251028_121959_19,0.7,0.65,0.75,20,120,3.99538468600001,3.9959
20251028_121959_19,0.7,0.65,0.75,20,240,3.229642371,3.23026
20251028_121959_2,0.61,0.16,0.75,20,0,4.25632431300001,4.25681
20251028_121959_2,0.61,0.16,0.75,20,120,3.575962976,3.57639
20251028_121959_2,0.61,0.16,0.75,20,240,4.439662817,4.44041
20251028_121959_20,0.7,0.65,0.75,20,0,3.624982344,3.62574
20251028_121959_20,0.7,0.65,0.75,20,120,3.63080033099999,3.63167
20251028_121959_20,0.7,0.65,0.75,20,240,2.913262222,2.91406
20251028_121959_3,0.61,0.16,0.75,20,0,4.309587468,4.31012
20251028_121959_3,0.61,0.16,0.75,20,120,3.62340901600001,3.6241
20251028_121959_3,0.61,0.16,0.75,20,240,4.497810295,4.49865
20251028_121959_4,0.61,0.16,0.75,20,0,4.16533168899999,4.166
20251028_121959_4,0.61,0.16,0.75,20,120,3.524562555,3.52539
20251028_121959_4,0.61,0.16,0.75,20,240,4.34635734700001,4.34664
20251028_121959_5,0.61,0.16,0.75,20,0,4.33312240500001,4.33381
20251028_121959_5,0.61,0.16,0.75,20,120,3.647868257,3.64845
20251028_121959_5,0.61,0.16,0.75,20,240,4.53375709599998,4.53451
20251028_121959_6,0.61,0.16,0.75,20,0,4.295099385,4.29597
20251028_121959_6,0.61,0.16,0.75,20,120,3.607223748,3.60798
20251028_121959_6,0.61,0.16,0.75,20,240,4.479967922,4.48055
20251028_121959_7,0.61,0.16,0.75,20,0,4.33696597200001,4.33775
20251028_121959_7,0.61,0.16,0.75,20,120,3.669616295,3.67016
20251028_121959_7,0.61,0.16,0.75,20,240,4.53339817099999,4.53385
20251028_121959_8,0.61,0.16,0.75,20,0,4.306507952,4.30716
20251028_121959_8,0.61,0.16,0.75,20,120,3.62458654200001,3.62509
20251028_121959_8,0.61,0.16,0.75,20,240,4.51825019699999,4.51872
20251028_121959_9,0.61,0.16,0.75,20,0,4.17320147199999,4.1739
20251028_121959_9,0.61,0.16,0.75,20,120,3.507447825,3.50795
20251028_121959_9,0.61,0.16,0.75,20,240,4.34724506100001,4.34795
